0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:25:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:28:46 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:28:46 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:28:46 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:35:27 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:36:58 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:04 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:04 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:04 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:19 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:19 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:19 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:39 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:39 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:39 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:51 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:51 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:37:51 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:38:34 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:38:34 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:38:34 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:42:48 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:42:48 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:42:48 +0900] "GET /WebUI/images/new/road2.jpg HTTP/1.1" 200 46040
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:42:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:44:10 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2453
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:44:10 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:44:10 +0900] "GET /WebUI/images/new/road2.jpg HTTP/1.1" 200 46040
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:44:10 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:58:04 +0900] "GET /WebUI/1_html5_class/04_html5_span.html HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:58:04 +0900] "GET /WebUI/images/common/logo_copyright.gif HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:58:56 +0900] "GET /WebUI/1_html5_class/04_html5_span.html HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:58:59 +0900] "GET /WebUI/1_html5_class/04_html5_span.html HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:58:59 +0900] "GET /WebUI/images/common/logo_copyright.gif HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:58:59 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:11:03:34 +0900] "GET /WebUI/1_html5_class/05_html5.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [31/Mar/2025:11:03:43 +0900] "GET /WebUI/1_html5_class/05_html5.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [31/Mar/2025:11:03:43 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:11:03:45 +0900] "GET /WebUI/1_html5_class/05_html5.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [31/Mar/2025:11:03:45 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:11:03:48 +0900] "GET /WebUI/1_html5_class/05_html5.html HTTP/1.1" 200 189
